Age,Gender,Academic_Level,Primary_Platform,Daily_Usage_Hours,Weekend_Extra_Hours,Device_Type,Sleep_Duration_Hours,Sleep_Quality_Score,Late_Night_Usage,Social_Comparison_Frequency,Perceived_Stress_Score,Mental_Health_Index,Academic_Performance_GPA,Overall_Impact
19,3,0,5,2.9,1.6,1,6.7,2,1,4,7.0,95,3.57,2
19,0,2,6,5.9,1.4,1,6.2,2,1,2,14.0,64,3.05,2
22,1,1,6,4.9,2.6,0,7.8,3,0,2,9.0,76,3.9,2
17,0,0,0,3.9,1.0,1,7.2,4,0,4,20.0,81,3.56,2
16,0,0,1,6.9,1.8,1,6.7,1,1,3,16.0,78,3.42,2
21,0,2,4,4.0,1.0,1,6.6,2,0,2,15.0,79,3.39,2
21,0,2,4,3.8,2.4,1,6.7,3,0,2,11.0,92,3.48,2
17,1,0,3,2.7,2.0,1,8.7,4,1,4,8.0,98,3.59,2
26,0,2,0,3.1,2.4,1,8.4,4,1,2,5.0,90,4.0,2
18,1,2,4,4.1,2.2,0,6.4,1,0,4,9.0,86,3.95,2
18,1,2,3,5.4,2.1,1,7.8,4,1,4,13.0,87,3.74,2
21,1,2,2,8.0,2.3,1,5.7,2,1,2,18.0,68,3.19,2
21,0,2,6,7.6,4.5,1,6.7,2,1,2,17.0,73,3.34,2
19,1,2,3,2.8,2.5,1,6.6,2,1,4,10.0,71,3.41,2
16,0,0,0,3.0,2.3,1,7.6,4,0,3,16.0,86,3.5,2
19,0,2,5,4.2,2.7,1,7.9,4,0,4,6.0,83,3.6,2
19,0,2,4,2.5,1.9,1,6.9,3,1,3,8.0,83,3.79,2
20,0,2,6,4.6,2.1,1,5.2,2,1,3,17.0,69,3.71,2
18,1,2,6,4.1,1.1,1,7.5,2,1,2,6.0,88,3.66,2
19,0,2,0,4.4,1.1,1,7.1,1,0,2,20.0,91,3.56,2
21,0,2,3,10.2,1.6,1,6.1,1,1,2,18.0,62,2.7,1
18,0,2,0,3.0,1.8,1,7.4,4,0,4,5.0,74,3.6,2
19,1,2,3,6.9,3.4,1,6.0,2,1,2,23.0,79,3.2,2
18,1,2,1,4.0,1.6,1,7.1,3,0,2,8.0,80,3.0,2
19,0,2,2,8.3,0.9,1,7.2,1,1,2,15.0,72,3.53,2
17,0,0,6,6.1,2.4,1,6.0,2,1,1,11.0,70,3.48,2
19,1,2,0,4.8,0.8,1,7.8,4,0,4,14.0,84,3.39,2
21,1,2,6,3.6,1.3,1,7.2,2,1,2,15.0,87,3.67,2
20,3,2,3,6.2,2.2,1,6.8,2,1,1,13.0,82,3.41,2
18,0,2,4,8.5,1.8,1,5.5,1,1,2,24.0,67,2.79,1
18,0,2,4,4.5,3.1,1,8.0,3,0,4,10.0,91,3.69,2
20,1,2,4,3.3,1.7,1,9.7,5,0,3,11.0,89,3.69,2
17,0,0,3,7.6,2.9,1,6.4,2,0,2,24.0,70,3.33,1
19,0,2,5,3.2,2.2,1,6.1,3,1,2,16.0,75,3.38,2
18,1,2,0,3.1,1.1,1,8.5,4,1,2,10.0,88,3.56,2
16,1,0,0,3.2,1.8,0,8.8,5,0,2,2.0,95,3.85,2
18,0,2,6,6.8,2.1,1,6.6,2,1,2,26.0,66,3.03,1
20,1,2,4,3.1,2.7,2,7.1,3,0,1,9.0,89,3.76,2
18,2,2,2,14.0,1.8,1,4.7,1,1,3,35.0,50,2.0,0
18,0,2,1,2.6,2.4,1,7.3,3,1,3,6.0,89,3.75,2
19,1,2,0,5.2,2.4,1,5.6,1,1,2,8.0,89,3.37,2
20,1,2,4,3.0,3.5,1,6.4,3,1,3,8.0,92,3.44,2
18,0,2,4,10.8,1.5,2,5.8,2,0,0,25.0,50,2.32,0
17,0,0,0,8.8,2.0,1,4.3,1,1,1,19.0,68,2.7,1
20,1,2,0,5.8,2.5,1,4.8,1,0,4,9.0,74,3.45,2
21,0,2,0,5.5,1.5,1,6.5,2,1,3,20.0,77,3.11,2
19,0,2,0,3.0,1.4,0,9.6,4,0,3,4.0,98,4.0,2
19,0,2,5,3.5,0.6,1,8.7,4,1,2,19.0,80,3.65,2
17,1,0,4,6.6,1.4,1,7.3,4,1,2,10.0,85,3.22,2
19,1,2,3,6.4,2.7,0,5.4,1,1,2,16.0,67,3.46,2
21,1,2,6,6.2,1.6,0,6.9,3,1,2,13.0,76,3.99,2
21,2,2,5,3.1,1.6,1,7.7,3,0,3,4.0,98,3.67,2
23,1,1,1,4.7,1.0,1,7.4,3,1,3,14.0,84,3.82,2
20,1,2,6,3.2,3.0,1,6.4,2,0,1,11.0,74,3.46,2
17,0,0,2,12.3,1.6,2,4.8,1,1,3,28.0,56,2.88,1
19,2,2,3,4.4,1.9,1,8.3,3,0,3,11.0,97,3.58,2
18,0,2,0,5.7,0.0,0,6.0,3,1,4,19.0,72,3.42,2
19,1,2,3,3.2,0.3,1,7.4,4,0,2,11.0,78,3.74,2
17,1,0,4,2.0,2.1,1,7.7,3,0,3,10.0,93,4.0,2
18,0,2,6,6.3,2.4,1,3.7,1,1,2,20.0,65,3.52,2
20,0,2,6,6.9,2.5,1,7.2,1,1,2,18.0,79,3.22,2
22,0,1,5,4.3,1.5,1,7.1,3,1,2,11.0,86,3.45,2
16,0,0,0,6.6,2.2,1,6.8,2,0,3,13.0,85,3.48,2
22,1,2,0,5.3,2.0,1,5.8,2,1,3,13.0,76,3.38,2
20,0,2,0,5.9,2.8,1,7.1,3,1,1,13.0,83,3.31,2
18,1,0,4,11.6,0.9,1,5.1,1,1,3,20.0,68,2.85,1
18,0,0,4,6.6,0.2,1,6.2,1,1,3,13.0,80,3.82,2
18,0,2,6,7.0,1.6,1,7.2,3,1,4,19.0,83,3.21,2
17,1,0,4,2.8,2.3,1,8.5,4,0,1,11.0,97,3.99,2
21,2,2,0,4.2,2.7,1,6.6,3,1,2,17.0,76,3.44,2
20,0,2,0,4.5,2.1,1,7.9,2,0,2,11.0,91,3.62,2
20,1,2,3,4.1,1.6,1,6.9,3,1,4,14.0,90,3.79,2
21,0,2,0,4.4,1.2,1,6.1,2,0,1,10.0,87,3.44,2
19,1,2,2,4.6,2.4,0,6.9,3,0,2,16.0,81,3.5,2
18,1,0,6,3.2,1.2,1,6.9,2,1,2,12.0,88,3.88,2
17,0,0,0,4.2,1.2,1,7.1,3,0,0,19.0,74,3.42,2
22,1,1,0,6.1,2.1,1,7.5,2,0,3,10.0,78,3.31,2
18,0,2,0,5.5,2.3,1,8.1,3,1,3,12.0,89,4.0,2
18,0,2,4,4.5,0.7,1,5.1,1,1,3,21.0,69,3.4,1
18,0,2,5,5.7,2.6,2,7.0,3,1,2,15.0,84,3.58,2
22,0,1,4,1.2,1.1,1,8.9,3,1,2,5.0,96,3.75,2
17,0,0,0,5.8,1.1,1,5.2,1,1,3,21.0,70,3.08,1
17,0,0,0,1.7,1.3,1,7.3,4,0,3,7.0,78,4.0,2
18,0,2,0,9.0,3.0,1,5.4,1,1,4,25.0,57,2.72,1
21,0,2,2,6.1,1.7,1,6.3,2,1,1,12.0,72,2.84,2
21,1,2,0,4.1,1.8,1,7.2,2,1,0,13.0,98,3.9,2
17,0,0,6,5.7,1.7,1,6.4,2,1,1,18.0,80,3.07,2
19,0,2,0,4.2,1.6,1,7.6,3,0,4,3.0,98,3.78,2
17,1,0,0,6.5,1.4,1,4.8,1,1,4,14.0,62,3.3,2
21,0,2,0,2.1,2.1,0,7.2,3,0,2,11.0,90,3.69,2
18,0,2,3,7.2,2.0,1,6.3,3,0,1,20.0,71,3.24,2
20,1,2,5,7.3,1.8,1,5.8,2,1,4,17.0,75,3.0,2
19,0,2,6,2.8,1.3,1,7.0,2,0,3,4.0,84,3.49,2
19,1,2,2,8.0,2.9,1,5.1,2,0,2,28.0,68,3.64,1
22,1,1,0,4.9,0.2,1,8.2,3,0,4,14.0,89,3.42,2
17,1,0,6,6.3,0.8,1,7.4,2,1,4,20.0,83,3.12,2
18,3,2,0,1.8,1.9,1,7.3,3,0,2,6.0,97,3.92,2
19,0,2,6,10.3,1.7,1,5.7,2,1,1,23.0,53,3.11,1
18,0,2,0,4.9,2.9,1,8.4,3,0,2,12.0,86,4.0,2
17,1,0,0,6.2,2.7,1,6.3,2,1,4,17.0,70,3.46,2
21,1,2,2,3.7,0.7,1,6.8,3,1,2,7.0,70,3.18,2
18,0,2,4,5.7,0.3,1,6.7,3,1,3,12.0,76,3.5,2
19,1,2,4,3.8,2.8,0,7.3,3,0,1,9.0,80,3.47,2
17,1,0,6,4.3,2.1,1,7.8,3,1,2,8.0,86,3.97,2
15,0,0,4,4.7,1.6,1,8.5,3,1,1,7.0,94,4.0,2
18,0,2,0,5.5,2.0,1,6.1,2,0,2,19.0,79,3.36,2
16,0,0,4,10.0,1.5,1,5.5,1,1,4,23.0,63,3.46,1
19,1,0,4,4.3,2.3,1,5.7,2,1,1,15.0,74,3.48,2
18,0,2,6,2.9,1.8,1,6.6,3,1,4,13.0,88,3.8,2
18,1,2,3,4.5,1.9,1,7.1,3,0,1,14.0,74,3.77,2
20,0,2,0,4.3,1.9,1,8.0,4,0,2,6.0,98,3.8,2
15,1,0,4,4.5,2.6,1,7.6,4,1,2,14.0,88,3.61,2
19,0,2,0,4.2,2.3,1,7.2,3,0,3,10.0,80,3.41,2
19,0,0,5,2.7,2.5,1,5.8,2,1,0,10.0,82,3.3,2
20,1,2,4,4.6,1.0,1,7.8,4,1,4,15.0,92,3.67,2
19,3,2,4,4.7,1.9,1,5.7,1,1,0,9.0,86,3.45,2
26,2,1,0,4.7,1.0,1,7.0,3,0,3,11.0,82,3.74,2
19,1,2,4,5.2,2.5,0,5.9,2,0,4,16.0,85,3.68,2
19,0,2,0,6.0,1.5,1,6.0,3,1,0,11.0,75,3.08,2
18,1,2,0,2.7,2.1,0,6.7,2,1,2,9.0,86,3.86,2
17,0,0,3,9.2,2.3,1,5.4,1,1,3,32.0,60,2.97,1
20,0,2,0,7.4,2.4,2,6.1,1,1,2,8.0,78,3.3,2
21,1,2,0,7.8,2.4,1,5.7,2,1,4,22.0,65,3.22,1
18,0,2,6,13.6,1.7,1,4.5,1,0,2,35.0,41,2.51,0
22,0,1,4,7.9,2.1,1,5.5,1,1,2,20.0,67,3.45,2
19,1,0,0,4.8,1.6,1,6.3,3,0,4,18.0,91,3.55,2
20,0,2,3,8.5,0.5,1,6.1,1,1,2,20.0,64,2.54,1
19,0,2,4,7.3,3.3,1,4.5,1,1,2,17.0,69,3.39,2
21,1,2,0,6.6,1.4,1,6.2,2,1,4,23.0,68,2.89,1
21,0,2,0,5.7,0.0,1,5.3,1,0,4,25.0,72,3.26,1
21,3,2,4,5.7,1.7,1,6.4,2,1,2,17.0,68,3.71,2
16,2,0,4,2.2,2.4,1,7.9,3,1,1,5.0,88,4.0,2
20,0,2,3,7.9,2.5,1,6.4,2,1,1,24.0,76,3.24,1
25,1,1,0,4.9,2.9,1,5.7,3,1,2,0.0,78,4.0,2
17,1,0,6,5.8,1.1,1,5.2,2,1,3,23.0,71,3.01,1
17,1,0,0,4.4,1.9,1,8.2,3,0,3,11.0,98,3.58,2
16,0,0,4,14.0,2.3,1,5.2,1,1,3,29.0,42,2.19,0
18,0,2,6,7.9,2.2,1,5.6,1,1,1,16.0,58,2.98,1
20,0,2,0,3.8,2.3,1,8.3,3,0,3,7.0,91,4.0,2
19,0,2,0,3.3,0.6,0,6.2,3,0,4,17.0,80,3.94,2
20,0,2,4,7.4,1.6,0,5.1,1,1,2,19.0,87,3.42,2
17,1,0,6,4.4,2.3,1,8.1,4,1,3,17.0,89,3.18,2
19,1,2,0,3.6,0.3,1,8.2,3,0,2,11.0,93,3.31,2
22,1,1,1,7.0,2.6,0,4.4,1,0,0,19.0,57,3.32,1
20,1,2,4,2.0,2.1,1,7.6,3,1,4,11.0,87,3.45,2
18,1,2,0,2.4,3.2,1,6.4,2,0,2,14.0,83,3.41,2
18,0,2,0,5.1,2.8,1,7.8,3,1,1,15.0,95,2.89,2
17,1,0,4,4.1,2.9,0,6.0,2,0,2,4.0,90,3.46,2
21,1,2,4,3.9,1.0,1,8.2,4,0,3,8.0,93,3.46,2
18,0,2,4,6.9,1.3,1,5.5,1,1,3,21.0,72,2.63,1
20,0,2,0,2.8,1.1,1,7.0,2,0,2,3.0,97,3.84,2
17,1,0,6,4.4,2.3,1,5.8,1,0,0,12.0,77,3.62,2
15,0,0,6,14.0,1.9,1,4.8,1,1,3,24.0,46,3.14,1
21,1,2,4,4.1,2.0,1,7.1,2,0,2,4.0,77,3.57,2
21,1,2,6,5.4,1.3,1,7.4,3,0,1,15.0,90,3.37,2
19,0,2,4,3.5,1.7,1,8.5,4,1,3,7.0,92,3.71,2
16,1,0,4,9.4,2.6,1,5.4,1,1,3,18.0,74,3.04,2
19,1,2,4,1.4,1.4,1,7.9,3,0,4,11.0,89,4.0,2
18,1,2,3,5.3,2.5,1,7.4,3,1,2,13.0,83,3.77,2
18,0,2,3,6.2,2.7,1,6.6,2,1,2,4.0,80,3.23,2
20,0,2,0,8.9,1.3,1,5.3,1,1,3,22.0,63,2.96,1
22,0,1,4,6.7,1.9,1,6.0,1,1,2,18.0,66,3.46,2
18,0,2,4,4.2,1.1,1,8.6,4,1,3,6.0,89,3.52,2
19,1,0,4,8.8,1.9,1,6.5,2,1,3,20.0,69,3.36,2
26,1,2,2,6.6,1.0,1,5.7,3,1,2,24.0,61,2.92,1
20,0,2,1,11.8,1.7,1,4.7,1,1,1,24.0,58,2.51,1
21,1,2,4,2.4,2.6,1,7.7,4,0,3,4.0,92,4.0,2
22,1,1,4,2.2,1.9,0,7.2,3,1,0,8.0,93,3.56,2
18,1,2,0,3.1,1.0,1,7.1,4,0,1,13.0,89,3.34,2
16,0,0,3,2.7,0.0,1,7.9,2,1,3,4.0,98,3.65,2
20,1,2,3,3.7,1.3,1,7.0,3,0,1,9.0,86,3.46,2
20,0,2,3,4.2,2.3,1,6.9,1,0,4,17.0,86,3.29,2
18,0,2,4,4.9,0.7,1,7.6,3,0,0,15.0,92,3.49,2
17,1,0,5,2.1,1.4,1,7.1,3,0,4,9.0,98,3.53,2
21,0,2,4,8.6,1.5,1,4.8,1,0,2,18.0,53,3.25,1
18,1,2,6,2.5,1.0,1,7.7,3,0,4,5.0,90,3.41,2
17,1,0,3,6.6,1.4,0,6.8,3,1,1,11.0,78,3.34,2
16,1,0,4,6.5,1.9,1,7.5,2,1,1,11.0,77,3.26,2
17,1,0,2,2.7,0.4,1,7.8,3,0,2,7.0,92,3.46,2
20,0,2,4,1.1,2.7,1,7.6,4,0,2,4.0,90,4.0,2
22,1,1,4,4.2,2.0,1,8.0,3,0,2,14.0,86,3.95,2
16,0,0,0,5.1,1.9,1,6.3,2,1,3,13.0,88,3.71,2
18,0,2,3,2.2,2.3,1,7.1,2,0,3,9.0,79,3.8,2
21,0,2,4,5.5,3.7,1,7.0,3,1,3,14.0,80,3.48,2
18,0,2,4,4.6,1.3,0,7.1,2,0,1,18.0,63,3.34,1
20,1,2,3,2.8,1.5,2,7.5,4,0,0,8.0,80,4.0,2
18,1,2,3,4.1,1.7,1,6.7,2,1,2,14.0,85,3.2,2
18,1,2,0,4.4,2.6,2,7.1,2,0,2,14.0,82,3.32,2
20,1,2,5,6.4,2.4,1,5.9,3,1,3,15.0,75,3.14,2
19,0,2,4,4.9,2.5,1,6.9,3,1,2,16.0,76,3.18,2
18,1,0,0,6.2,1.1,1,6.4,3,1,3,17.0,78,2.96,2
18,0,2,4,10.0,1.4,1,5.4,1,1,3,25.0,56,3.31,1
18,0,2,1,7.2,1.2,1,6.9,3,0,2,20.0,62,3.3,1
19,1,2,0,3.5,1.6,0,6.8,3,1,2,4.0,86,4.0,2
19,0,2,0,8.1,1.9,1,5.1,2,1,3,20.0,59,3.25,1
22,1,2,4,9.7,2.3,1,6.7,3,1,2,23.0,66,3.09,1
20,0,0,4,4.3,2.5,1,6.3,3,1,2,12.0,73,3.71,2
21,1,2,6,4.0,2.5,1,6.0,3,0,0,9.0,79,3.69,2
17,1,0,0,2.8,1.9,1,7.8,2,1,3,12.0,90,3.76,2
15,1,0,4,5.9,1.8,1,5.7,3,1,0,14.0,80,2.91,2
16,0,0,0,2.4,2.1,1,6.2,2,0,3,12.0,91,3.5,2
21,1,2,4,4.0,2.6,1,8.1,3,0,3,15.0,90,4.0,2
18,0,2,6,13.4,2.0,1,4.0,1,0,1,25.0,48,2.5,0
18,1,2,0,5.2,1.6,1,6.1,2,1,2,13.0,80,3.2,2
19,2,2,0,5.5,1.6,1,5.7,2,0,3,17.0,73,3.76,2
17,0,0,3,5.4,1.2,1,7.5,3,1,3,12.0,71,4.0,2
19,2,2,6,2.1,2.1,1,7.3,3,0,3,5.0,98,4.0,2
18,0,2,5,6.4,2.9,1,5.9,1,1,3,17.0,68,3.26,2
19,0,2,0,8.4,1.1,1,5.9,1,1,3,26.0,65,3.46,1
17,1,0,3,4.6,3.1,1,5.9,3,1,2,14.0,72,3.68,2
21,0,2,4,1.9,1.6,1,7.0,3,0,4,1.0,98,3.88,2
17,1,0,0,4.9,1.2,1,6.6,3,1,2,12.0,81,3.06,2
18,1,2,6,4.2,2.8,1,6.8,2,1,2,6.0,88,3.3,2
18,0,2,4,2.3,1.3,1,8.1,3,0,4,8.0,98,3.73,2
17,0,0,0,5.7,1.1,1,5.4,2,1,3,21.0,81,3.42,2
19,1,2,0,3.3,1.2,1,7.8,3,0,2,11.0,98,3.64,2
18,0,2,0,6.6,1.0,0,6.4,2,1,0,14.0,70,3.06,2
22,0,1,0,12.4,1.3,1,3.5,2,1,0,33.0,44,2.59,0
18,1,2,1,3.8,1.2,0,6.7,2,0,1,19.0,98,2.96,2
18,1,2,4,9.3,2.0,1,6.0,1,1,3,24.0,67,2.87,1
18,0,2,4,3.9,2.1,1,7.5,3,1,0,14.0,85,3.11,2
19,0,2,4,5.8,2.9,1,7.1,2,1,1,16.0,72,3.28,2
16,0,0,4,5.9,0.6,2,5.8,3,1,2,13.0,78,3.63,2
17,0,0,6,4.7,2.6,1,6.7,3,0,4,9.0,88,3.42,2
18,0,2,6,4.1,1.8,1,7.1,4,0,1,6.0,92,3.34,2
18,0,2,0,7.6,2.8,1,6.3,2,1,0,22.0,73,3.28,1
15,0,0,4,2.7,2.4,1,8.1,4,1,1,15.0,94,3.77,2
16,1,0,0,8.2,3.5,1,5.7,2,0,2,20.0,69,3.21,1
20,0,2,6,7.2,1.1,1,6.3,2,1,1,17.0,75,2.83,2
17,1,0,4,6.9,1.0,1,5.8,2,0,2,13.0,78,2.75,2
18,0,0,5,2.9,1.7,1,7.9,4,0,4,2.0,89,3.19,2
17,0,0,0,2.6,1.9,1,8.9,4,0,3,5.0,93,3.41,2
17,0,0,6,2.3,2.6,1,7.4,3,0,4,1.0,88,3.52,2
19,1,2,0,4.4,2.8,1,8.4,3,0,2,0.0,85,3.83,2
17,1,0,0,5.7,2.0,1,6.5,2,1,0,18.0,84,3.06,2
20,1,2,4,9.0,1.4,2,5.4,1,1,2,23.0,70,3.05,1
16,0,0,6,5.3,3.1,1,6.9,3,0,2,15.0,89,3.99,2
19,1,2,3,9.1,2.6,1,5.9,1,1,1,22.0,62,2.94,1
20,1,2,4,3.6,2.1,1,7.5,4,0,0,7.0,89,4.0,2
19,0,2,0,7.9,2.3,1,6.2,1,1,3,26.0,54,3.31,1
18,0,2,4,6.6,1.9,1,5.5,1,1,4,11.0,73,3.37,2
18,1,2,0,2.8,2.3,1,7.7,4,0,3,12.0,88,4.0,2
16,0,0,0,3.1,0.9,1,7.0,3,0,2,9.0,85,3.53,2
19,2,2,0,1.0,3.0,1,9.2,4,1,3,0.0,98,4.0,2
21,1,2,4,4.9,2.6,1,5.5,2,1,4,12.0,77,3.27,2
15,0,0,0,4.5,1.7,1,7.6,3,1,0,9.0,87,3.05,2
20,0,0,4,4.8,0.9,1,5.9,1,1,2,16.0,75,3.69,2
23,1,1,0,5.5,1.8,0,8.1,4,1,4,10.0,87,3.43,2
20,1,2,4,1.7,2.0,1,7.6,2,1,2,10.0,93,3.45,2
17,1,0,2,5.0,1.9,1,7.6,3,1,4,15.0,84,3.49,2
17,1,0,2,6.8,1.8,1,6.7,2,1,3,17.0,76,3.85,2
17,0,0,6,5.3,1.8,1,5.3,1,1,1,12.0,71,3.57,2
19,1,2,3,4.5,2.3,1,7.1,3,0,2,6.0,83,3.8,2
21,0,2,2,2.2,1.7,1,7.9,3,0,1,1.0,89,3.78,2
18,0,2,1,5.8,2.5,1,7.2,4,0,3,19.0,84,3.96,2
16,1,0,4,3.8,2.3,1,6.9,3,0,4,7.0,82,3.26,2
20,1,2,5,8.0,2.5,0,4.7,2,1,3,21.0,53,3.19,1
18,1,2,0,6.6,1.7,1,5.6,2,1,2,9.0,79,2.89,2
16,2,0,6,4.3,1.5,1,7.0,2,0,1,15.0,88,3.22,2
19,1,2,4,1.4,1.6,1,7.8,4,0,2,7.0,98,4.0,2
19,0,0,3,2.9,0.4,1,7.6,2,1,2,2.0,96,4.0,2
18,3,2,0,5.1,1.5,1,7.2,2,1,4,6.0,86,3.31,2
18,1,2,0,6.9,1.1,1,5.3,1,1,3,25.0,63,2.97,1
18,0,2,0,4.8,2.1,1,6.2,3,0,1,9.0,79,3.84,2
17,0,0,6,5.5,2.2,1,7.5,2,1,0,13.0,77,3.31,2
19,0,2,6,5.3,1.3,0,6.7,3,0,2,23.0,61,2.86,1
20,0,2,4,2.9,1.6,1,7.7,3,0,1,11.0,85,3.41,2
16,0,0,4,4.9,2.6,1,7.0,1,0,2,26.0,85,3.45,2
20,0,2,5,2.1,1.6,1,7.2,4,0,4,11.0,78,3.45,2
16,0,0,0,8.6,2.3,1,4.5,1,1,4,22.0,58,2.77,1
18,1,2,0,8.9,2.0,1,6.4,2,0,0,18.0,59,3.66,2
16,1,0,0,4.7,1.8,1,5.5,2,1,2,8.0,72,4.0,2
21,0,2,0,3.8,1.7,1,7.2,3,0,1,9.0,79,3.84,2
20,0,2,6,6.2,1.0,1,7.5,2,1,2,11.0,71,3.54,2
21,0,0,0,5.0,2.9,1,7.1,3,0,2,13.0,81,4.0,2
17,0,0,6,6.0,2.6,1,7.2,2,1,2,9.0,79,3.89,2
15,1,0,6,1.9,1.8,0,7.1,3,0,3,6.0,97,3.42,2
18,0,2,6,5.0,0.3,1,5.8,2,1,2,10.0,92,3.09,2
20,1,2,0,5.0,1.2,2,6.4,3,1,1,6.0,73,3.99,2
21,1,2,2,7.3,3.4,1,6.1,1,1,2,15.0,83,3.26,2
17,1,0,4,12.2,3.0,0,5.9,1,1,3,30.0,49,2.88,0
19,0,2,0,3.3,0.9,1,7.4,3,0,1,6.0,87,3.49,2
16,0,0,4,5.0,1.1,1,6.4,3,0,1,12.0,69,3.46,2
17,0,0,3,4.5,1.4,1,6.6,3,0,4,11.0,81,3.77,2
17,0,0,6,4.6,0.6,1,7.2,3,0,3,10.0,88,3.55,2
18,0,2,3,6.8,1.9,1,5.9,2,1,2,17.0,70,2.64,1
17,0,0,3,3.5,2.0,1,7.2,2,1,4,13.0,85,3.97,2
18,0,2,0,5.0,1.4,0,7.0,2,0,4,7.0,90,3.4,2
19,1,2,5,3.9,2.2,1,7.9,3,0,4,8.0,87,3.16,2
21,0,0,0,11.1,1.9,1,3.1,1,1,1,32.0,49,2.67,0
15,1,0,4,3.9,1.7,1,7.1,3,1,1,9.0,78,3.74,2
